ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.520878,6.489883,4.611052,4.58895,15.98896,0.2757432,3.105011,0.9909723,,ACCELERATE
-1,6.520878,6.489883,4.611052,4.58895,15.98896,0.2757432,3.105011,0.9989783,,ACCELERATE
-1,6.520883,6.489882,4.611053,4.588949,15.98896,0.2757432,3.105011,1.007373,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.017987,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.025049,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.037347,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757433,3.105011,1.045988,,ACCELERATE
-1,6.520883,6.489884,4.61105,4.588952,15.98896,0.2757432,3.105011,1.055862,,ACCELERATE
-1,6.520881,6.489883,4.61105,4.588952,15.98896,0.2757432,3.105011,1.070114,,ACCELERATE
-1,6.520881,6.489883,4.61105,4.588952,15.98896,0.2757432,3.105011,1.084705,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.092254,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.100008,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.108134,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.118027,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.125741,,ACCELERATE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757432,3.105011,1.136064,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.14328,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.153751,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.161393,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.170811,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.180098,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.188414,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.194693,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.203275,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.212285,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.220251,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.227336,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.235044,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.241396,,ACCELERATE
-1,6.520875,6.489886,4.61105,4.588952,15.98896,0.2757431,3.105011,1.251482,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.258412,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.265886,,ACCELERATE
-1,6.52088,6.489883,4.611052,4.58895,15.98896,0.2757432,3.105011,1.274048,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.283584,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.290841,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.297471,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.304195,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.105011,1.31166,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.319205,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.325347,,ACCELERATE
-1,6.520875,6.489886,4.61105,4.588952,15.98896,0.275743,3.105011,1.332762,,ACCELERATE
